web-scraper-order,web-scraper-start-url,disinfo-case-link,disinfo-case-link-href,title,date,keywords
1653630041-295,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The EU should stop Kyiv from committing war crimes,https://euvsdisinfo.eu/report/pls-sthe-eu-should-stop-kyiv-from-committing-war-crimes,Disinfo: The EU should stop Kyiv from committing war crimes,DATE OF PUBLICATION: 22/04/2022,"Keywords: Brussels, war crimes, Invasion of Ukraine, Donbas, Russophobia"
1653629949-265,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bodies found in Bucha are just an Ukrainian provocation,https://euvsdisinfo.eu/report/bodies-found-in-bucha-are-just-an-ukrainian-provocation,Disinfo: Bodies found in Bucha are just an Ukrainian provocation,DATE OF PUBLICATION: 04/04/2022,"Keywords: War in Ukraine, Provocation, War crimes"
1653630150-334,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Europe is tempted to support Neo-Nazi movements,https://euvsdisinfo.eu/report/europe-is-tempted-to-support-neo-nazi-movements,Disinfo: Europe is tempted to support Neo-Nazi movements,DATE OF PUBLICATION: 16/05/2022,Keywords: Nazi/Fascist
1653629926-257,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The West is spreading fakes about Russian atrocities in Bucha,https://euvsdisinfo.eu/report/the-west-is-spreading-fakes-about-russian-atrocities-in-bucha,Disinfo: The West is spreading fakes about Russian atrocities in Bucha,DATE OF PUBLICATION: 03/04/2022,"Keywords: War crimes, War in Ukraine"
1653630002-283,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russian action in Ukraine to prevent Third World War,https://euvsdisinfo.eu/report/russian-action-in-ukraine-to-prevent-third-world-war,Disinfo: Russian action in Ukraine to prevent Third World War,DATE OF PUBLICATION: 12/04/2022,"Keywords: War in Ukraine, Invasion of Ukraine, Military"
1653629921-255,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"EU is not considering Russian interests, is Russophobe",https://euvsdisinfo.eu/report/eu-is-not-considering-russian-interests-is-russophobe,"Disinfo: EU is not considering Russian interests, is Russophobe",DATE OF PUBLICATION: 01/04/2022,"Keywords: Russophobia, Anti-Russian, Sanctions, War in Ukraine"
1653630088-312,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha is clearly a provocation as the corpses presented many anomalies,https://euvsdisinfo.eu/report/bucha-is-clearly-a-provocation-as-the-corpses-presented-many-anomalies,Disinfo: Bucha is clearly a provocation as the corpses presented many anomalies,DATE OF PUBLICATION: 01/05/2022,null
1653629968-272,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Britain is lying by saying that Bucha massacre is Russia's fault,https://euvsdisinfo.eu/report/britain-is-lying-by-saying-that-bucha-massacre-is-russias-fault,Disinfo: Britain is lying by saying that Bucha massacre is Russia's fault,DATE OF PUBLICATION: 05/04/2022,"Keywords: War in Ukraine, War crimes"
1653630147-333,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Sweden and Finland are being dragged into NATO and forced to wage a war against Russia,https://euvsdisinfo.eu/report/sweden-and-finland-are-being-dragged-into-nato-and-forced-to-wage-a-war-against-russia,Disinfo: Sweden and Finland are being dragged into NATO and forced to wage a war against Russia,DATE OF PUBLICATION: 15/05/2022,"Keywords: NATO, EU/NATO enlargement, Anti-Russian, Russophobia, Encircling Russia"
1653629977-275,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"US, UK, EU finance provocations similar to Bucha massacre",https://euvsdisinfo.eu/report/us-uk-eu-finance-provocations-similar-to-bucha-massacre,"Disinfo: US, UK, EU finance provocations similar to Bucha massacre",DATE OF PUBLICATION: 06/04/2022,"Keywords: War in Ukraine, Human rights, Bosnia war, Syrian War, War crimes"
1653630094-314,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,UK is pushing Ukraine to fight Russia promising assistance with nuclear strike,https://euvsdisinfo.eu/report/uk-is-pushing-ukraine-to-fight-russia-promising-assistance-with-nuclear-strike,Disinfo: UK is pushing Ukraine to fight Russia promising assistance with nuclear strike,DATE OF PUBLICATION: 01/05/2022,null
1653629954-267,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,UK refused to hold a UN meeting to propagate false information on Bucha,https://euvsdisinfo.eu/report/uk-refused-to-hold-a-un-meeting-to-propagate-false-information-on-bucha,Disinfo: UK refused to hold a UN meeting to propagate false information on Bucha,DATE OF PUBLICATION: 04/04/2022,"Keywords: War in Ukraine, UN, Propaganda, War crimes"
1653630091-313,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha is a provocation aiming to derail Russia-Ukraine negotiations in Istanbul,https://euvsdisinfo.eu/report/bucha-is-a-provocation-aiming-to-derail-russia-ukraine-negotiations-in-istanbul,Disinfo: Bucha is a provocation aiming to derail Russia-Ukraine negotiations in Istanbul,DATE OF PUBLICATION: 01/05/2022,null
1653630099-316,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Western media have decided that Russia is guilty in Bucha despite the lack of evidence,https://euvsdisinfo.eu/report/western-media-have-decided-that-russia-is-guilty-in-bucha-despite-the-lack-of-evidence,Disinfo: Western media have decided that Russia is guilty in Bucha despite the lack of evidence,DATE OF PUBLICATION: 01/05/2022,null
1653630030-291,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The dead people in Bucha are just part of a Ukrainian provocation,https://euvsdisinfo.eu/report/the-dead-people-in-bucha-are-just-part-of-a-ukrainian-provocation,Disinfo: The dead people in Bucha are just part of a Ukrainian provocation,DATE OF PUBLICATION: 19/04/2022,"Keywords: war crimes, War in Ukraine, SBU, Invasion of Ukraine, Mainstream media"
1653630086-311,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,NATO members block completion of Russian operation in Ukraine through talks,https://euvsdisinfo.eu/report/nato-members-block-completion-of-russian-operation-in-ukraine-through-talks,Disinfo: NATO members block completion of Russian operation in Ukraine through talks,DATE OF PUBLICATION: 30/04/2022,"Keywords: War in Ukraine, NATO, Military"
1653630135-329,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"West is Russia’s enemy, wants to be more so",https://euvsdisinfo.eu/report/west-is-russias-enemy-wants-to-be-more-so,"Disinfo: West is Russia’s enemy, wants to be more so",DATE OF PUBLICATION: 12/05/2022,"Keywords: Russophobia, War in Ukraine, Invasion of Ukraine"
1653630055-300,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine fired at the largest ammunition depot in Transnistria,https://euvsdisinfo.eu/report/ukraine-fired-at-the-largest-ammunition-depot-in-transnistria,Disinfo: Ukraine fired at the largest ammunition depot in Transnistria,DATE OF PUBLICATION: 27/04/2022,"Keywords: Transnistria, Frozen conflict"
1653630161-338,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"US, Canada, Switzerland to blame for surge in food and energy prices due to illegal sanctions on Russia",https://euvsdisinfo.eu/report/us-canada-switzerland-to-blame-for-surge-in-food-and-energy-prices-due-to-illegal-sanctions-on-russia,"Disinfo: US, Canada, Switzerland to blame for surge in food and energy prices due to illegal sanctions on Russia",DATE OF PUBLICATION: 19/05/2022,"Keywords: Invasion of Ukraine, food, Sanctions"
1653629938-261,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian actions in Bucha are similar to those made by the White Helmets,https://euvsdisinfo.eu/report/ukrainian-actions-in-bucha-are-similar-to-those-made-by-the-white-helmets,Disinfo: Ukrainian actions in Bucha are similar to those made by the White Helmets,DATE OF PUBLICATION: 04/04/2022,"Keywords: White Helmets, War in Ukraine, Syrian War, Terrorism financing, War crimes, Intelligence services"
1653630130-327,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Kyiv refused to implement the Minsk agreements and conducted a genocide in Donbas,https://euvsdisinfo.eu/report/kyiv-refused-to-implement-the-minsk-agreements-and-conducted-a-genocide-in-donbas,Disinfo: Kyiv refused to implement the Minsk agreements and conducted a genocide in Donbas,DATE OF PUBLICATION: 10/05/2022,"Keywords: Genocide, Invasion of Ukraine, Donbas, DNR, LNR, Minsk agreements"
1653630124-325,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The government of Israel support anti-Semitism in Ukraine.,https://euvsdisinfo.eu/report/the-government-of-israel-support-anti-semitism-in-ukraine,Disinfo: The government of Israel support anti-Semitism in Ukraine.,DATE OF PUBLICATION: 06/05/2022,"Keywords: Anti-Semitism, Nazi/Fascist"
1653629882-241,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine ceased to be a democratic state after 2014,https://euvsdisinfo.eu/report/ukraine-ceased-to-be-a-democratic-state-after-2014,Disinfo: Ukraine ceased to be a democratic state after 2014,DATE OF PUBLICATION: 27/03/2022,"Keywords: Nazi/Fascist, Coup, Ukrainian statehood, Euromaidan"
1653629957-268,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Kyiv prepared a provocation accusing the Russian army of targeting civilians in Bucha,https://euvsdisinfo.eu/report/kyiv-prepared-a-provocation-accusing-the-russian-army-of-targeting-civilians-in-bucha,Disinfo: Kyiv prepared a provocation accusing the Russian army of targeting civilians in Bucha,DATE OF PUBLICATION: 04/04/2022,Keywords: War in Ukraine
1653630052-299,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia launched a special military operation in accordance with the UN Charter,https://euvsdisinfo.eu/report/russia-launched-a-special-military-operation-in-accordance-with-the-un-charter,Disinfo: Russia launched a special military operation in accordance with the UN Charter,DATE OF PUBLICATION: 26/04/2022,"Keywords: UN, United Nations, António Guterres, War in Ukraine, Invasion of Ukraine, International Law, Vladimir Putin"
1653630167-340,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine sells its grain to pay for weapons,https://euvsdisinfo.eu/report/ukraine-sells-its-grain-to-pay-for-weapons,Disinfo: Ukraine sells its grain to pay for weapons,DATE OF PUBLICATION: 23/05/2022,"Keywords: War in Ukraine, food"
1653630049-298,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine has become another colony of the West,https://euvsdisinfo.eu/report/ukraine-has-become-another-colony-of-the-west,Disinfo: Ukraine has become another colony of the West,DATE OF PUBLICATION: 24/04/2022,"Keywords: Puppets, Ukrainian statehood"
1653630164-339,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Pentagon-backed labs produce bioweapons in Mariupol,https://euvsdisinfo.eu/report/pentagon-backed-labs-produce-bioweapons-in-mariupol,Disinfo: Pentagon-backed labs produce bioweapons in Mariupol,DATE OF PUBLICATION: 20/05/2022,"Keywords: Biological weapons, Invasion of Ukraine, laboratory"
1653629963-270,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha provocation aimed at accusing Russia of war crimes; no civilians suffered from Russian troops,https://euvsdisinfo.eu/report/bucha-provocation-aimed-at-accusing-russia-of-war-crimes-no-civilians-suffered-from-russian-troops,Disinfo: Bucha provocation aimed at accusing Russia of war crimes; no civilians suffered from Russian troops,DATE OF PUBLICATION: 05/04/2022,"Keywords: War in Ukraine, War crimes"
1653629960-269,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The images of dead bodies in Bucha may be a diversion of attention from US biolabs in Ukraine,https://euvsdisinfo.eu/report/the-images-of-dead-bodies-in-bucha-may-be-a-diversion-of-attention-from-us-biolabs-in-ukraine,Disinfo: The images of dead bodies in Bucha may be a diversion of attention from US biolabs in Ukraine,DATE OF PUBLICATION: 04/04/2022,"Keywords: War crimes, War in Ukraine, laboratory, Biological weapons"
1653629929-258,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Kyiv's accusations of killings in Bucha are a provocation,https://euvsdisinfo.eu/report/kyivs-accusations-of-killings-in-bucha-are-a-provocation,Disinfo: Kyiv's accusations of killings in Bucha are a provocation,DATE OF PUBLICATION: 03/04/2022,"Keywords: War crimes, War in Ukraine"
1653629965-271,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"Ukrainian corpses move, stand up and avoid transport in Bucha",https://euvsdisinfo.eu/report/ukrainian-corpses-move-stand-up-and-avoid-transport-in-bucha,"Disinfo: Ukrainian corpses move, stand up and avoid transport in Bucha",DATE OF PUBLICATION: 05/04/2022,"Keywords: War in Ukraine, War crimes"
1653629899-247,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Weapons to Ukraine are transported via DHL vehicles,https://euvsdisinfo.eu/report/weapons-to-ukraine-are-transported-via-dhl-vehicles,Disinfo: Weapons to Ukraine are transported via DHL vehicles,DATE OF PUBLICATION: 30/03/2022,null
1653629912-252,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia's special operation prevented a large-scale attack on Donbas by Ukraine,https://euvsdisinfo.eu/report/russias-special-operation-prevented-a-large-scale-attack-on-donbas-by-ukraine,Disinfo: Russia's special operation prevented a large-scale attack on Donbas by Ukraine,DATE OF PUBLICATION: 30/03/2022,"Keywords: War in Ukraine, Eastern Ukraine, Donbas, DNR, LNR, Donetsk, Military"
1653630072-306,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"The massacre is Bucha was fake, just like chemical attacks by Assad in Syria",https://euvsdisinfo.eu/report/the-massacre-is-bucha-was-fake-just-like-chemical-attacks-by-assad-in-syria,"Disinfo: The massacre is Bucha was fake, just like chemical attacks by Assad in Syria",DATE OF PUBLICATION: 28/04/2022,"Keywords: Invasion of Ukraine, war crimes, Chemical weapons/attack, Intelligence services, Media"
1653630019-289,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"Cruiser ""Moscow"" sunk as a result of a fire caused by the detonation of ammunition",https://euvsdisinfo.eu/report/cruiser-moscow-sunk-as-a-result-of-a-fire-caused-by-the-detonation-of-ammunition,"Disinfo: Cruiser ""Moscow"" sunk as a result of a fire caused by the detonation of ammunition",DATE OF PUBLICATION: 15/04/2022,"Keywords: War in Ukraine, Black Sea"
1653629885-242,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Global corporations are responsible for the war in Ukraine,https://euvsdisinfo.eu/report/global-corporations-are-responsible-for-the-war-in-ukraine,Disinfo: Global corporations are responsible for the war in Ukraine,DATE OF PUBLICATION: 27/03/2022,"Keywords: Secret elites / global elites, War in Ukraine"
1653629907-250,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Both Ukraine and the US refused to share information about MH17,https://euvsdisinfo.eu/report/both-ukraine-and-the-us-refused-to-share-information-about-mh17,Disinfo: Both Ukraine and the US refused to share information about MH17,DATE OF PUBLICATION: 30/03/2022,"Keywords: MH17, Donbas"
1653629988-279,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"One of the ""killed"" in Bucha raises his hand, and the other suddenly changes position",https://euvsdisinfo.eu/report/one-of-the-killed-in-bucha-raises-his-hand-and-the-other-suddenly-changes-position,"Disinfo: One of the ""killed"" in Bucha raises his hand, and the other suddenly changes position",DATE OF PUBLICATION: 07/04/2022,"Keywords: fake news, fake rape, war crimes, War crimes, War in Ukraine"
1653630077-308,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia launched a military offensive because Ukraine did not implement the Minsk agreements,https://euvsdisinfo.eu/report/russia-launched-a-military-offensive-because-ukraine-did-not-implement-the-minsk-agreements,Disinfo: Russia launched a military offensive because Ukraine did not implement the Minsk agreements,DATE OF PUBLICATION: 29/04/2022,"Keywords: Minsk agreements, Invasion of Ukraine"
1653630133-328,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Poland wants to occupy parts of Ukraine,https://euvsdisinfo.eu/report/poland-wants-to-occupy-parts-of-ukraine,Disinfo: Poland wants to occupy parts of Ukraine,DATE OF PUBLICATION: 10/05/2022,"Keywords: Invasion of Ukraine, Ukrainian statehood, Occupation"
1653629932-259,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Macron wants evacuation of civilians from Mariupol to free Bernard-Henri Lévy,https://euvsdisinfo.eu/report/macron-wants-evacuation-of-civilians-from-mariupol-to-free-bernard-henri-levy,Disinfo: Macron wants evacuation of civilians from Mariupol to free Bernard-Henri Lévy,DATE OF PUBLICATION: 04/04/2022,null
1653630032-292,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,West uses Ukrainians as cannon fodder in proxy war against Russia,https://euvsdisinfo.eu/report/west-uses-ukrainians-as-cannon-fodder-in-proxy-war-against-russia,Disinfo: West uses Ukrainians as cannon fodder in proxy war against Russia,DATE OF PUBLICATION: 19/04/2022,"Keywords: War in Ukraine, Anti-Russian"
1653629985-278,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha is a cover up for Ukrainian fascists torturing Russian prisoners of war,https://euvsdisinfo.eu/report/bucha-is-a-cover-up-for-ukrainian-fascists-torturing-russian-prisoners-of-w,Disinfo: Bucha is a cover up for Ukrainian fascists torturing Russian prisoners of war,DATE OF PUBLICATION: 07/04/2022,"Keywords: War in Ukraine, War crimes, Nazi/Fascist"
1653629935-260,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"Kyiv pursues its criminal plan to ""slaughter every single Ukrainian""",https://euvsdisinfo.eu/report/kyiv-pursues-its-criminal-plan-to-slaughter-every-single-ukrainian,"Disinfo: Kyiv pursues its criminal plan to ""slaughter every single Ukrainian""",DATE OF PUBLICATION: 04/04/2022,"Keywords: War in Ukraine, war crimes, International Criminal Court"
1653629993-281,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"Ukrainian fascists shelled the Kramatorsk railway station with a ""Tochka U"" missile system",https://euvsdisinfo.eu/report/ukrainian-fascists-shelled-the-kramatorsk-railway-station-with-a-tochka-u-missile-system,"Disinfo: Ukrainian fascists shelled the Kramatorsk railway station with a ""Tochka U"" missile system",DATE OF PUBLICATION: 10/04/2022,"Keywords: Nazi/Fascist, War in Ukraine"
1653630102-317,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Accusations about Bucha are as false as claims that Russia bombed a maternity hospital in Mariupol,https://euvsdisinfo.eu/report/accusations-about-bucha-are-as-false-as-claims-that-russia-bombed-a-maternity-hospital-in-mariupol,Disinfo: Accusations about Bucha are as false as claims that Russia bombed a maternity hospital in Mariupol,DATE OF PUBLICATION: 01/05/2022,null
1653630013-287,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine has walked the path of fascist Germany to a Third World War,https://euvsdisinfo.eu/report/ukraine-has-walked-the-path-of-fascist-germany-to-a-third-world-war,Disinfo: Ukraine has walked the path of fascist Germany to a Third World War,DATE OF PUBLICATION: 12/04/2022,"Keywords: Nazi/Fascist, War in Ukraine, Anti-Russian"
1653630005-284,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Canada's foreign minister is a descendant of a Ukrainian Nazi,https://euvsdisinfo.eu/report/canadas-foreign-minister-is-a-descendant-of-a-ukrainian-nazi,Disinfo: Canada's foreign minister is a descendant of a Ukrainian Nazi,DATE OF PUBLICATION: 12/04/2022,"Keywords: Nazi/Fascist, War in Ukraine"
1653629924-256,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian authorities turned a blind eye toward Nazi groups,https://euvsdisinfo.eu/report/ukrainian-authorities-turned-a-blind-eye-toward-nazi-groups,Disinfo: Ukrainian authorities turned a blind eye toward Nazi groups,DATE OF PUBLICATION: 03/04/2022,"Keywords: Nazi/Fascist, War in Ukraine, Police"
1653630144-332,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia does not allow Kyiv to organize Holodomor in Ukraine,https://euvsdisinfo.eu/report/russia-does-not-allow-kyiv-to-organize-holodomor-in-ukraine,Disinfo: Russia does not allow Kyiv to organize Holodomor in Ukraine,DATE OF PUBLICATION: 14/05/2022,null
1653629888-243,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The West needs Ukraine as a battering ram against Russia,https://euvsdisinfo.eu/report/the-west-needs-ukraine-as-a-battering-ram-against-russia,Disinfo: The West needs Ukraine as a battering ram against Russia,DATE OF PUBLICATION: 28/03/2022,"Keywords: West, War in Ukraine, Ukrainian statehood, Puppets, War crimes"
1653630141-331,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The entry of Nazi Ukraine into the European Union would mean its collapse,https://euvsdisinfo.eu/report/the-entry-of-nazi-ukraine-into-the-european-union-would-mean-its-collapse,Disinfo: The entry of Nazi Ukraine into the European Union would mean its collapse,DATE OF PUBLICATION: 14/05/2022,"Keywords: EU disintegration, Nazi/Fascist, War in Ukraine, Invasion of Ukraine, Ukrainian statehood, EU/NATO enlargement, European values, European Union"
1653630066-304,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Poland wants to occupy Western Ukraine,https://euvsdisinfo.eu/report/poland-wants-to-occupy-western-ukraine,Disinfo: Poland wants to occupy Western Ukraine,DATE OF PUBLICATION: 28/04/2022,"Keywords: Ukrainian statehood, War in Ukraine, Ukraine"
1653630010-286,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Zelenskyy not sparing Ukrainian lives; UK and US fighting Russia till last Ukrainian,https://euvsdisinfo.eu/report/zelenskyy-not-sparing-ukrainian-lives-uk-and-us-fighting-russia-till-last-ukrainian,Disinfo: Zelenskyy not sparing Ukrainian lives; UK and US fighting Russia till last Ukrainian,DATE OF PUBLICATION: 12/04/2022,"Keywords: War in Ukraine, Invasion of Ukraine, Anti-Russian"
1653630105-318,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"Zelenskyy is only a marketing operation, a Jewish face for a Nazi regime",https://euvsdisinfo.eu/report/zelenskyy-is-only-a-marketing-operation-a-jewish-face-for-a-nazi-regime,"Disinfo: Zelenskyy is only a marketing operation, a Jewish face for a Nazi regime",DATE OF PUBLICATION: 02/05/2022,null
1653630110-320,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Poland will try to gain full military control in Ukrainian territories under the guise of protecting the Polish population from Russia,https://euvsdisinfo.eu/report/poland-will-try-to-gain-full-military-control-in-ukrainian-territories-under-the-guise-of-protecting-the-polish-population-from-russia,Disinfo: Poland will try to gain full military control in Ukrainian territories under the guise of protecting the Polish population from Russia,DATE OF PUBLICATION: 04/05/2022,"Keywords: Ukrainian disintegration, Invasion of Ukraine"
1653630152-335,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"The pope met an identified Nazi, wife of an Azov fighter",https://euvsdisinfo.eu/report/the-pope-met-an-identified-nazi-wife-of-an-azov-fighter,"Disinfo: The pope met an identified Nazi, wife of an Azov fighter",DATE OF PUBLICATION: 17/05/2022,Keywords: War in Ukraine
1653629991-280,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine is responsible for the Tochka-U-missile attack on Kramatorsk railway station,https://euvsdisinfo.eu/report/ukraine-is-responsible-for-the-tochka-u-missile-attack-on-kramatorsk-railway-station,Disinfo: Ukraine is responsible for the Tochka-U-missile attack on Kramatorsk railway station,DATE OF PUBLICATION: 08/04/2022,"Keywords: Donbas, War in Ukraine"
1653630069-305,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian radical neo-Nazi battalions regularly use human shields as cover,https://euvsdisinfo.eu/report/ukrainian-radical-neo-nazi-battalions-regularly-use-human-shields-as-cover,Disinfo: Ukrainian radical neo-Nazi battalions regularly use human shields as cover,DATE OF PUBLICATION: 28/04/2022,"Keywords: Invasion of Ukraine, Nazi/Fascist, war crimes"
1653629910-251,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian fascists stored weapons and ammunition in Uman synagogue,https://euvsdisinfo.eu/report/ukrainian-fascists-stored-weapons-and-ammunition-in-uman-synagogue,Disinfo: Ukrainian fascists stored weapons and ammunition in Uman synagogue,DATE OF PUBLICATION: 30/03/2022,"Keywords: Nazi/Fascist, Jews, War in Ukraine"
1653629915-253,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia was subjected to illegal sanctions,https://euvsdisinfo.eu/report/russia-was-subjected-to-illegal-sanctions,Disinfo: Russia was subjected to illegal sanctions,DATE OF PUBLICATION: 31/03/2022,"Keywords: Sanctions, War in Ukraine, International Law"
1653629918-254,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian Nazis were occupying the bombed maternity hospital in Mariupol,https://euvsdisinfo.eu/report/ukrainian-nazis-were-occupying-the-bombed-maternity-hospital-in-mariupol,Disinfo: Ukrainian Nazis were occupying the bombed maternity hospital in Mariupol,DATE OF PUBLICATION: 01/04/2022,Keywords: War in Ukraine
1653629896-246,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The Nazi ideology is evident in Ukrainian schools,https://euvsdisinfo.eu/report/the-nazi-ideology-is-evident-in-ukrainian-schools,Disinfo: The Nazi ideology is evident in Ukrainian schools,DATE OF PUBLICATION: 29/03/2022,"Keywords: Nazi/Fascist, War in Ukraine, Ukrainian disintegration, Ukrainian statehood, fake news, Adolf Hitler"
1653630008-285,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The Bucha massacre was a special psychological British operation,https://euvsdisinfo.eu/report/the-bucha-massacre-was-a-special-psychological-british-operation,Disinfo: The Bucha massacre was a special psychological British operation,DATE OF PUBLICATION: 12/04/2022,"Keywords: War in Ukraine, War crimes"
